,id,rt,response,book,correct_answer,correct
191,11,6.9968,True,68,True,True
192,12,9.1685,False,81,False,True
193,12,4.1124,False,57,False,True
194,12,11.9726,True,73,True,True
195,12,2.416,False,19,True,False
196,12,3.4265,False,153,False,True
197,12,5.8686,True,45,True,True
198,12,4.3328,True,102,True,True
199,12,5.5336,False,13,False,True
200,12,5.3495,False,110,False,True
201,12,2.9541,True,1,True,True
202,12,3.9173,False,60,True,False
203,12,3.7335,False,8,False,True
204,12,2.098,False,35,False,True
205,12,3.75,True,87,True,True
206,12,4.9329,True,76,True,True
207,12,11.8056,False,188,False,True
208,13,5.3357,False,219,False,True
209,13,3.5636,False,109,False,True
210,13,6.3381,True,209,True,True
211,13,2.2987,True,14,True,True
212,13,3.1477,False,145,False,True
213,13,5.1378,False,207,False,True
214,13,4.226,False,195,False,True
215,13,4.4695,False,203,False,True
216,13,4.6921,True,193,True,True
217,13,6.3613,False,89,False,True
218,13,4.9031,True,211,True,True
219,13,3.6311,True,35,True,True
220,13,6.9517,False,27,False,True
221,13,6.5712,True,77,True,True
222,13,4.7135,True,120,True,True
223,13,5.4012,True,113,True,True
224,14,4.765,False,57,False,True
225,14,4.8657,True,82,True,True
226,14,1.7418,True,1,True,True
227,14,5.1487,False,65,False,True
228,14,2.4942,True,89,True,True
229,14,1.712,False,127,False,True
230,14,1.5358,True,141,True,True
231,14,10.5321,True,195,True,True
232,14,6.8995,False,102,False,True
233,14,3.888,False,155,False,True
234,14,2.0829,False,202,False,True
235,14,3.1868,True,220,True,True
236,14,2.2109,False,83,False,True
237,14,2.303,True,211,True,True
238,14,1.1985,True,39,True,True
239,14,1.7271,False,146,False,True
240,15,111.1007,False,52,False,True
241,15,4.5811,True,149,True,True
242,15,4.161,False,54,True,False
243,15,3.8773,False,42,False,True
244,15,1.748,True,35,True,True
245,15,1.8317,True,193,True,True
246,15,1.8679,False,190,False,True
247,15,1.9484,False,220,False,True
248,15,3.6165,False,111,False,True
249,15,3.7313,False,128,False,True
250,15,5.7425,False,74,False,True
251,15,1.4479,True,113,True,True
252,15,3.9766,False,27,True,False
253,15,3.628,False,181,False,True
254,15,3.3454,True,86,True,True
255,15,2.6958,True,117,True,True
256,16,4.3948,True,59,True,True
257,16,4.2324,True,18,True,True
258,16,8.0881,False,106,False,True
259,16,7.3713,True,113,True,True
260,16,10.2682,True,55,True,True
261,16,9.2178,False,120,False,True
262,16,9.7312,False,117,False,True
263,16,11.1277,False,40,False,True
264,16,10.511,True,103,True,True
265,16,17.2794,False,158,False,True
266,16,4.4008,True,218,True,True
267,16,6.6596,False,92,True,False
268,16,18.3612,True,220,False,False
269,16,19.3581,False,31,False,True
270,16,5.5741,True,68,True,True
271,16,4.1669,False,48,False,True
272,17,6.9866,True,98,True,True
273,17,5.0598,True,211,True,True
274,17,38.4443,False,144,False,True
275,17,33.3438,False,164,False,True
276,17,14.8774,False,171,False,True
277,17,2.5953,True,1,True,True
278,17,3.5099,True,113,True,True
279,17,2.7607,True,141,True,True
280,17,15.5443,False,121,False,True
281,17,16.5949,False,6,False,True
282,17,18.993,True,111,True,True
283,17,3.1101,True,127,True,True
284,17,22.0774,False,10,False,True
285,17,2.96,True,114,True,True
286,17,10.7256,False,23,False,True
287,17,7.1568,False,155,False,True
288,18,19.5369,True,27,True,True
289,18,28.9097,True,24,True,True
290,18,13.9474,False,65,False,True
291,18,7.7098,False,21,False,True
292,18,12.06,True,23,True,True
293,18,11.2093,True,39,True,True
294,18,18.1603,True,41,True,True
295,18,9.3092,False,58,False,True
296,18,17.4934,True,55,True,True
297,18,4.9933,True,43,True,True
298,18,14.6079,False,147,False,True
299,18,6.7392,False,60,False,True
300,18,10.3273,False,121,False,True
301,18,11.6606,False,207,False,True
302,18,9.5949,True,9,True,True
303,18,23.4597,False,106,False,True
304,19,8.0533,False,123,False,True
305,19,6.0363,False,116,False,True
306,19,6.0402,False,45,False,True
307,19,2.1696,True,33,True,True
308,19,3.371,True,15,True,True
309,19,6.7694,True,117,True,True
310,19,2.9891,True,225,True,True
311,19,1.7396,True,211,True,True
312,19,3.4594,True,29,True,True
313,19,8.7222,False,71,False,True
314,19,5.7873,True,219,False,False
315,19,1.2853,True,113,True,True
316,19,5.2857,False,46,False,True
317,19,5.0735,False,55,False,True
318,19,10.4585,False,185,False,True
319,19,3.5299,True,1,True,True
320,20,5.3194,False,159,False,True
321,20,3.1836,False,130,False,True
322,20,7.0859,True,158,True,True
323,20,4.9161,False,103,False,True
324,20,2.5522,False,204,False,True
325,20,3.6634,False,47,False,True
326,20,3.0156,False,21,False,True
327,20,4.3993,True,124,True,True
328,20,5.6498,False,14,False,True
329,20,3.6919,True,155,True,True
330,20,7.7923,False,139,True,False
331,20,5.9546,True,125,True,True
332,20,4.8711,True,73,True,True
333,20,3.2499,False,9,False,True
334,20,6.46,True,198,True,True
335,20,3.948,True,197,True,True
336,21,39.6344,False,83,False,True
337,21,7.47,False,65,False,True
338,21,4.2899,True,203,True,True
339,21,7.5364,False,81,False,True
340,21,2.3195,True,217,True,True
341,21,18.7422,False,115,False,True
342,21,7.2216,True,117,True,True
343,21,2.2568,True,70,True,True
344,21,1.7248,True,181,True,True
345,21,15.1084,False,79,False,True
346,21,3.2261,True,192,True,True
347,21,1.8523,True,33,True,True
348,21,3.1261,True,197,True,True
349,21,1.6921,True,179,False,False
350,21,12.4845,False,187,False,True
351,21,15.9321,False,172,False,True
352,22,6.2276,True,211,True,True
353,22,12.979,True,106,True,True
354,22,8.6943,True,7,False,False
355,22,0.4601,True,177,False,False
356,22,0.4794,True,225,True,True
357,22,0.628,True,1,True,True
358,22,0.7624,True,193,True,True
359,22,2.0937,True,16,False,False
360,22,1.1123,True,113,True,True
361,22,0.5277,True,173,False,False
362,22,2.6285,True,31,True,True
363,22,0.9277,True,67,False,False
364,22,0.4614,True,51,False,False
365,22,0.6287,True,8,False,False
366,22,1.0632,True,49,True,True
367,22,1.413,True,160,False,False
368,23,5.007,False,107,False,True
369,23,2.684,False,11,False,True
370,23,2.706,False,2,False,True
371,23,1.859,True,78,True,True
372,23,3.346,True,6,True,True
373,23,1.671,True,164,True,True
374,23,4.026,True,57,True,True
375,23,6.025,False,38,False,True
376,23,2.853,False,214,False,True
377,23,3.447,True,209,True,True
378,23,1.983,True,1,True,True
379,23,3.331,False,71,False,True
380,23,1.775,True,124,True,True
381,23,2.15,False,37,False,True
382,23,2.246,True,147,True,True
383,23,1.573,False,166,False,True
384,24,10.3606,False,5,False,True
385,24,6.434,False,140,False,True
386,24,3.478,True,178,True,True
387,24,4.4238,True,1,True,True
388,24,5.79,True,225,True,True
389,24,2.3891,True,177,True,True
390,24,5.214,False,217,False,True
391,24,5.2593,False,68,False,True
392,24,2.0034,True,191,True,True
393,24,3.5099,True,195,True,True
394,24,3.931,False,113,False,True
395,24,5.8368,False,190,False,True
396,24,4.5269,False,110,False,True
397,24,3.3489,True,211,True,True
398,24,2.1309,True,176,True,True
399,24,4.5548,False,198,False,True
400,25,7.8756,False,26,False,True
401,25,13.6545,False,91,True,False
402,25,10.8747,False,132,False,True
403,25,3.4401,False,142,True,False
404,25,5.6109,False,56,True,False
405,25,5.934,False,177,False,True
406,25,8.2396,False,110,True,False
407,25,12.6063,False,64,True,False
408,25,2.751,False,174,False,True
409,25,3.4482,False,145,False,True
410,25,3.4697,False,216,False,True
411,25,3.4282,False,99,False,True
412,25,5.8068,False,82,True,False
413,25,7.9248,False,95,True,False
414,25,1.7197,False,191,False,True
415,25,2.2552,False,120,True,False
416,26,12.976,True,138,True,True
417,26,13.6118,False,187,False,True
418,26,13.6948,False,125,False,True
419,26,15.1779,False,158,False,True
420,26,5.6145,True,94,True,True
421,26,14.8281,False,161,False,True
422,26,5.7782,True,170,True,True
423,26,7.3776,True,213,True,True
424,26,13.7031,False,183,True,False
425,26,9.9426,True,122,True,True
426,26,9.4592,False,51,False,True
427,26,39.0784,True,215,True,True
428,26,18.9587,True,201,True,True
429,26,21.9784,False,131,False,True
430,26,24.2771,False,103,False,True
431,26,12.2947,False,140,False,True
432,27,21.751,False,72,False,True
433,27,10.578,True,184,True,True
434,27,66.724,False,191,False,True
435,27,13.061,True,79,True,True
436,27,9.204,False,147,False,True
437,27,51.124,False,137,False,True
438,27,10.923,False,17,False,True
439,27,11.459,True,63,True,True
440,27,10.074,False,103,False,True
441,27,37.065,False,26,False,True
442,27,31.725,True,199,True,True
443,27,4.738,False,92,True,False
444,27,4.876,False,29,True,False
445,27,12.997,True,183,True,True
446,27,14.611,False,102,False,True
447,27,7.907,True,64,True,True
448,28,3.6364,True,113,True,True
449,28,4.4278,False,6,False,True
450,28,15.4604,False,154,False,True
451,28,2.7916,False,19,False,True
