"","id","total_correct","total_hit","total_fa","aprime","dprime"
"95","6020a97ae790606e1add320d",16,8,0,1,Inf
"96","607ce9df61f8f44b9403edfc",16,8,0,1,Inf
"97","60887a654f55f863e95ca944",15,8,1,0.96875,Inf
"98","608f2aa883599160c8b87a79",16,8,0,1,Inf
"99","60a2abc7d14eb0935100dd31",16,8,0,1,Inf
"100","60cbb3a438a8a5ef8d42ee21",13,6,1,0.886904761904762,1.82483913057209
"101","60cd717e463162435e3b7d46",16,8,0,1,Inf
"102","60d54e6c7c07f25c5b751491",14,6,0,0.9375,Inf
"103","60e2577f8c52db9d1fb5ffac",9,4,3,0.6125,0.318639363964375
"104","60e3abf8c7ce5b28f917f5d3",15,8,1,0.96875,Inf
"105","60e40bc673851f99039bcdc8",9,6,5,0.625,0.355850386231707
"106","60ee62a805ac89c06f80d417",16,8,0,1,Inf
"107","60fcebba7345a976efc9c080",16,8,0,1,Inf
"108","60fcf4667b53c3c63c41b48e",13,5,0,0.90625,Inf
"109","60fd56db5fe37ebeca00bc83",15,8,1,0.96875,Inf
"110","60fd74fbe59b9f766fd6228d",16,8,0,1,Inf
"111","60fdb22ffc7f9af1ca72667f",14,6,0,0.9375,Inf
"112","60fdef558b926ecb4de631cf",16,8,0,1,Inf
"113","60fe5291479c1a1f6417b4a5",16,8,0,1,Inf
"114","6112c7a6b0cc80578975e648",16,8,0,1,Inf
"115","611b1f8d65d3749d42e746c2",16,8,0,1,Inf
"116","611b8f8d34b5aed647a248e3",16,8,0,1,Inf
"117","612159c5e4fd13df2044d7ec",16,8,0,1,Inf
"118","61267e282a445af9eb95beae",16,8,0,1,Inf
"119","612d7869907b934a07f116d7",16,8,0,1,Inf
"120","6135752aa4ee5158b0708670",11,4,1,0.794642857142857,1.15034938037601
"121","614c86f68018ec28d1550e76",16,8,0,1,Inf
"122","614f58258eaf7063aa888d90",16,8,0,1,Inf
"123","6151c93f62e26ed6871a5fbd",16,8,0,1,Inf
"124","6165a8ee6dde7ff6f4b22e6f",16,8,0,1,Inf
"125","6168b61ad8c0d63b37a92109",15,7,0,0.96875,Inf
"126","61fa94015719bc09cb834e2e",16,8,0,1,Inf
"127","626af8ea8c93e250e03bfaa6",15,7,0,0.96875,Inf
"128","627f448165ed9095fd43cfd1",16,8,0,1,Inf
"129","62865cb9d41a9e2aaf141c84",13,5,0,0.90625,Inf
"130","62867b51e71606f873d41b05",16,8,0,1,Inf
"131","628f9792b0d89f574e123771",16,8,0,1,Inf
"132","62952c60095ebfbdca7ec2ac",15,7,0,0.96875,Inf
"133","629642bfde2bf56c1ec2a420",16,8,0,1,Inf
"134","62c331eb63e265c0c3adcf9d",16,8,0,1,Inf
"135","62c79dafb9222348d5e5a90c",16,8,0,1,Inf
"136","62dc2f45630616c5920dcb75",14,6,0,0.9375,Inf
"137","62f875cb0bd095fcf778dd3a",16,8,0,1,Inf
"138","6310bdd0c04dd21ec4d97496",14,8,2,0.9375,Inf
"139","63162bda14b96736b08a554d",16,8,0,1,Inf
"140","631f478fc80a9d54a98fb5a0",16,8,0,1,Inf
"141","6333c1f5756acfabfde457ed",13,5,0,0.90625,Inf
"142","6333dafae0a6b172dd2bd2af",16,8,0,1,Inf
"143","6335f7d7dad0ae03e9a2509a",16,8,0,1,Inf
"144","633643465b40568290457617",16,8,0,1,Inf
"145","63480f3ff2ebda4f9403cc01",13,7,2,0.886904761904762,1.82483913057209
"146","63584536ee0bf772659d84d4",15,7,0,0.96875,Inf
"147","63614d7ed7516f2df577dd64",15,7,0,0.96875,Inf
"148","63617d69f2a3425296c8d89e",11,3,0,0.84375,Inf
"149","637b04a69794763b20491590",16,8,0,1,Inf
"150","639618dc4a68e64c6956c39c",16,8,0,1,Inf
"151","63b6ca062959ac20b7e6c369",16,8,0,1,Inf
"152","63b8af73e68276c4ee8adba8",16,8,0,1,Inf
"153","63c0b8e25159ad47312132ac",14,8,2,0.9375,Inf
"154","63c0dca0dc55e97ff8295cd6",16,8,0,1,Inf
"155","63c0e1b1ee5ca75f61e3b2e1",16,8,0,1,Inf
"156","63c437337eef664e06fdf1f7",14,6,0,0.9375,Inf
"157","63d7c637eb907620aba818b0",16,8,0,1,Inf
"158","63e2d7785f60f12b60826f53",16,8,0,1,Inf
"159","63e5227f750e8484e58c13a2",16,8,0,1,Inf
"160","63e5be4daa8fac2e51d4fe91",15,7,0,0.96875,Inf
"161","63e711bb284d2bc894a057a6",15,7,0,0.96875,Inf
"162","63ea6e6d78fced1e97a149c8",11,6,3,0.775,0.993129114160457
"163","6400d9235287137e7b62fd29",16,8,0,1,Inf
"164","64050cfd151bc9945fd3eac9",12,5,1,0.842857142857143,1.46898874434038
"165","64063ab4e87bbb62274cd0e6",16,8,0,1,Inf
"166","6406d015ad2a96ceef1f86cc",9,4,3,0.6125,0.318639363964375
"167","640d988c383c60ed564dd05e",16,8,0,1,Inf
"168","6415e163b670eed64ad645ff",15,8,1,0.96875,Inf
"169","6434ca569e4ece2d6062bd6b",14,6,0,0.9375,Inf
"170","64374928df1b0f8f55b3279c",6,3,5,0.3,-0.63727872792875
"171","643b56c128bc9da4d485324e",13,7,2,0.886904761904762,1.82483913057209
"172","64417068d8702a6cf2a7b472",16,8,0,1,Inf
"173","6449c06515cda31d2f043b42",15,7,0,0.96875,Inf
"174","64d50cea3e508365daf4bfed",16,8,0,1,Inf
"175","6501f64fbe9a0a65bd5f7891",16,8,0,1,Inf
"176","65103482eef061cb1e3efb85",14,6,0,0.9375,Inf
"177","651b0bf012ad70f23d978e28",14,6,0,0.9375,Inf
"178","65259583fe963a1c197f221d",7,5,6,0.375,-0.355850386231707
"179","652d603ca584c101cee4ca84",16,8,0,1,Inf
"180","653022044e675f79327663aa",16,8,0,1,Inf
"181","65380a258021a891975e9d06",14,8,2,0.9375,Inf
"182","6543066cff6d7afed2784928",16,8,0,1,Inf
"183","6545400d6d15a71561d3d2e9",14,7,1,0.928571428571429,2.30069876075202
"184","65532d466c9b79d4bec85daf",10,6,4,0.708333333333333,0.674489750196082
"185","65625f5519bb4cecffc7ebdc",15,7,0,0.96875,Inf
"186","65627954aa9ef60ccbcbfbe4",14,6,0,0.9375,Inf
"187","6564b4871e2847cd44a52718",15,7,0,0.96875,Inf
"188","656f6c6d08bb71fb9ccd0c4b",16,8,0,1,Inf
"189","657b11e9c701596b72cfb234",15,7,0,0.96875,Inf
"190","657c7805a350f2793ef0e2af",16,8,0,1,Inf
"191","657db14f29f08e45b0db916e",16,8,0,1,Inf
"192","657f151cf3bac23e1b62cd8e",15,7,0,0.96875,Inf
"193","6581a4563e8d964be10d5e01",15,7,0,0.96875,Inf
"194","6582fb598495ab1fbfdd6f9c",14,6,0,0.9375,Inf
"195","658374a4743287529deeb16b",9,6,5,0.625,0.355850386231707
"196","6585f7aeee69a41f14e3b42f",16,8,0,1,Inf
"197","658f8c50f489cc904ba56539",16,8,0,1,Inf
"198","6595969229ac40a58a7fda41",14,7,1,0.928571428571429,2.30069876075202
"199","6595be83dbc6d36b1ef53d28",12,4,0,0.875,Inf
"200","659d54586ab2b73a2706f086",15,7,0,0.96875,Inf
"201","65b15e4e8c8632ab552cb330",16,8,0,1,Inf
"202","65b906cdf766b77092b72425",16,8,0,1,Inf
"203","65c15279942f3449529c0110",15,7,0,0.96875,Inf
"204","65c1727c988716b880c08aca",15,7,0,0.96875,Inf
"205","65caa993b557f4aa96530ca2",15,7,0,0.96875,Inf
"206","65cb64bd432d01b6af029d27",12,4,0,0.875,Inf
"207","65d373715475ef5e29a64102",13,5,0,0.90625,Inf
"208","65d863e56337aa59292ccd66",16,8,0,1,Inf
"209","65dcb8de27f5cb588f25952f",16,8,0,1,Inf
"210","65dde65f62b60f3b65f6872a",16,8,0,1,Inf
"211","65de69a8c8bdfd2308ee7464",16,8,0,1,Inf
"212","65e010683535448ec7b6d609",16,8,0,1,Inf
"213","65e5e242e89c017250e591b2",11,5,2,0.775,0.993129114160457
"214","65e8fd23ef669d553e9db84b",10,6,4,0.708333333333333,0.674489750196082
"215","65ee4106d4b632b7fb7a3f79",16,8,0,1,Inf
"216","65f25101dad7fdb09cee8585",8,5,5,0.5,0
"217","65f3cd5743d9b2f3d6fc2c99",15,7,0,0.96875,Inf
"218","65f7bb8f80653ddbcb463317",16,8,0,1,Inf
"219","65f7d3b5f447492a52291383",15,8,1,0.96875,Inf
"220","65fc55f0dd070026d29006a8",14,6,0,0.9375,Inf
"221","65fdd93e06226cbd2c8b44ae",16,8,0,1,Inf
"222","65fe41468ff3607de5100b21",14,8,2,0.9375,Inf
"223","660465471aeb130a6ade4f2f",16,8,0,1,Inf
"224","66088b078ff8518336021b26",13,5,0,0.90625,Inf
"225","6609347317181576747b5254",16,8,0,1,Inf
"226","660b5a78ee620844e328a71f",15,7,0,0.96875,Inf
"227","660c21b888db988a05a6afd2",16,8,0,1,Inf
"228","660c44324910c6b515544704",16,8,0,1,Inf
"229","660c5b8673b8719d3a12209c",16,8,0,1,Inf
"230","660d1bad09ccf21621f94e0f",16,8,0,1,Inf
"231","660d42580e9b46dac6ccf136",16,8,0,1,Inf
"232","660d5c44b10a5c79ced58222",16,8,0,1,Inf
"233","660d5ec6d080ce984b6b87bc",16,8,0,1,Inf
"234","660d6657379373308256132e",15,7,0,0.96875,Inf
"235","660db6a4d1f524ad6016bda5",15,7,0,0.96875,Inf
"236","660dd507a58a114fc84387a8",15,7,0,0.96875,Inf
"237","660df98a1eef539c85944dfa",16,8,0,1,Inf
"238","660e021d1016f53e1f13f488",16,8,0,1,Inf
"239","660e18443c4e4bf92a2b2af6",15,8,1,0.96875,Inf
"240","660e2b683f945904cf920513",16,8,0,1,Inf
"241","660ed653338167465fab6bc6",13,6,1,0.886904761904762,1.82483913057209
"242","660efba8c059124ae0dc99b9",16,8,0,1,Inf
"243","660f13c4c857c321875bbf81",15,7,0,0.96875,Inf
"244","660f22d3cfecb9f300297ea4",16,8,0,1,Inf
"245","660f580f6c69db7498eae250",16,8,0,1,Inf
"246","660fe0fa2f0a5972eb6e5c6a",15,7,0,0.96875,Inf
"247","66102dfa2e31964b19d0788b",16,8,0,1,Inf
"248","66104c49539c2f4219dc2d8e",16,8,0,1,Inf
"249","66105c776fb388e117f927b3",16,8,0,1,Inf
"250","661310a50e84713a36a9680e",14,6,0,0.9375,Inf
